conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
0.988,759810119,serotonin,0.9997392296791077,serotonin,759810119,2198532315,AL(R),AL(R),17093,33995,31676,17081,33983,31680,0.988,0.954049
0.987,759810119,serotonin,0.9995481371879578,serotonin,759810119,2225845656,AL(R),AL(R),20324,28813,31738,20333,28795,31737,0.987,0.96704
0.982,759810119,serotonin,0.999958872795105,serotonin,759810119,1704347707,AL(R),AL(R),19751,32880,31860,19752,32880,31873,0.982,0.988634
0.982,759810119,serotonin,0.999958872795105,serotonin,759810119,1699974843,AL(R),AL(R),19751,32880,31860,19765,32873,31862,0.982,0.981483
0.986,759810119,serotonin,0.9999947547912598,serotonin,759810119,1640909284,AL(R),AL(R),19749,33642,31933,19738,33631,31922,0.986,0.995492
0.978,759810119,serotonin,0.9999995231628418,serotonin,759810119,574032862,AL(R),AL(R),17231,34284,32096,17218,34296,32094,0.978,0.999847
0.981,759810119,serotonin,0.999997615814209,serotonin,759810119,5813018460,AL(R),AL(R),19828,33939,32109,19837,33948,32115,0.981,0.962474
0.981,759810119,serotonin,0.999997615814209,serotonin,759810119,1640909284,AL(R),AL(R),19828,33939,32109,19818,33952,32115,0.981,0.996002
0.973,759810119,serotonin,0.9998558759689331,serotonin,759810119,5813018460,AL(R),AL(R),20321,34037,32334,20300,34038,32334,0.973,0.972132
0.973,759810119,serotonin,0.9998558759689331,serotonin,759810119,2041621893,AL(R),AL(R),20321,34037,32334,20342,34017,32341,0.973,0.97182
0.973,759810119,serotonin,0.9998558759689331,serotonin,759810119,1640909284,AL(R),AL(R),20321,34037,32334,20321,34044,32354,0.973,0.997952
0.985,669325882,serotonin,0.9994931221008301,serotonin,669325882,5812991378,WED(R),WED(R),14156,14899,32706,14148,14899,32712,0.985,0.983355
0.985,669325882,serotonin,0.9994931221008301,serotonin,669325882,2184506420,WED(R),WED(R),14156,14899,32706,14158,14912,32712,0.985,0.957089
0.965,669325882,serotonin,0.9984449744224548,serotonin,669325882,5813041065,GNG,GNG,19858,10057,33295,19867,10040,33293,0.965,0.960057
0.993,669325882,serotonin,0.9964974522590637,serotonin,669325882,944249308,SAD,SAD,16505,21500,33856,16495,21490,33861,0.993,0.99959
