neuron_class,conf,body,max_neurotransmitter,max_nt_value,gt_neurotransmitter,bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
neuron11,0.98,1224941044,dopamine,0.7729851007461548,dopamine,1224941044,1223969004,FB,FB,25457,18445,18858,25449,18435,18864,0.98,0.969036
neuron11,0.981,1224941044,dopamine,0.7009959816932678,dopamine,1224941044,1224595289,FB,FB,23829,20330,20940,23847,20340,20929,0.981,0.98842
neuron11,0.959,1224941044,dopamine,0.718566358089447,dopamine,1224941044,390667603,FB,FB,27926,21103,21468,27917,21113,21468,0.959,0.998715
neuron11,0.956,1224941044,dopamine,0.8882563710212708,dopamine,1224941044,1135902737,FB,FB,23147,19428,20447,23135,19429,20455,0.956,0.974394
neuron11,0.983,1224941044,dopamine,0.7727837562561035,dopamine,1224941044,1255285060,FB,FB,23657,21634,20966,23668,21643,20969,0.983,0.994553
neuron11,0.997,1224941044,dopamine,0.7780461311340332,dopamine,1224941044,1286315478,FB,FB,23170,21752,20718,23170,21752,20703,0.997,0.996638
neuron11,0.966,1224941044,dopamine,0.9082639813423157,dopamine,1224941044,734801540,FB,FB,26051,20110,20035,26058,20106,20024,0.966,0.966364
neuron11,0.954,1224941044,dopamine,0.7414529323577881,dopamine,1224941044,976997912,FB,FB,25721,17424,19196,25730,17411,19192,0.954,0.969955
neuron11,0.984,1224941044,dopamine,0.4250568747520447,dopamine,1224941044,1136248041,FB,FB,22433,19704,20786,22445,19709,20774,0.984,0.993028
neuron11,0.992,1224941044,dopamine,0.9629808664321899,dopamine,1224941044,1227941128,FB,FB,22266,22037,21941,22267,22045,21944,0.992,0.995607
neuron11,0.987,1224941044,dopamine,0.9086286425590515,dopamine,1224941044,1014457195,FB,FB,30589,23803,22624,30576,23797,22623,0.987,0.97339
neuron11,0.986,1224941044,dopamine,0.5955857634544373,dopamine,1224941044,1072166282,FB,FB,26151,19915,19036,26148,19914,19046,0.986,0.999973
neuron11,0.985,1224941044,dopamine,0.7356995940208435,dopamine,1224941044,762226975,FB,FB,26080,18006,19344,26070,18000,19349,0.985,0.999332
neuron12,0.969,1131827390,dopamine,0.6218360662460327,dopamine,1131827390,859977121,FB,FB,31189,21860,20952,31195,21854,20953,0.969,0.987504
neuron12,0.979,1131827390,dopamine,0.4570568799972534,dopamine,1131827390,1293896697,FB,FB,21944,19289,19539,21936,19304,19531,0.979,0.999914
neuron12,0.963,1131827390,dopamine,0.541925847530365,dopamine,1131827390,1351756766,FB,FB,26618,20083,18811,26631,20097,18815,0.963,0.977026
neuron12,0.987,1131827390,dopamine,0.9024932384490967,dopamine,1131827390,5812983883,FB,FB,21841,20618,20560,21829,20612,20568,0.987,0.999252
neuron12,0.99,1131827390,dopamine,0.5961700677871704,dopamine,1131827390,693755250,FB,FB,24803,21927,20066,24799,21936,20066,0.99,0.988348
neuron12,0.983,1131827390,dopamine,0.8795619010925293,dopamine,1131827390,5813061541,FB,FB,31458,22351,20873,31462,22355,20859,0.983,0.994394
neuron12,0.984,1131827390,dopamine,0.8554916381835938,dopamine,1131827390,1257322613,FB,FB,24880,20326,18646,24880,20337,18658,0.984,0.977868
neuron12,0.957,1131827390,dopamine,0.9771511554718018,dopamine,1131827390,1016192580,FB,FB,28303,20885,18978,28313,20881,18971,0.957,0.996721
neuron12,0.964,1131827390,dopamine,0.662570059299469,dopamine,1131827390,1131836336,FB,FB,30790,21466,20739,30800,21470,20742,0.964,0.989509
